;FR20030;FR20026;FR20017;FR20002;FR20013;FR20045;FR20029;FR20049;FR20019;FR20038;FR20020;FR20008;FR20033;FR20037;FR20003;FR20004;FR20048;FR20016;FR20031;FR20046;FR20061;FR20062;FR20063;FR20065;FR20069;FR20070;FR20071;FR20077
25/02/2000;43.0;-1.0;92.0;87.0;143.0;43.0;54.0;8.0;86.0;65.0;67.0;109.0;56.0;56.0;85.0;84.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
26/02/2000;33.0;-1.0;65.0;65.0;86.0;27.0;38.0;13.0;66.0;55.0;50.0;74.0;44.0;44.0;-1.0;57.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
27/02/2000;16.0;-1.0;52.0;69.0;67.0;18.0;26.0;17.0;63.0;36.0;41.0;74.0;30.0;29.0;-1.0;49.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
28/02/2000;5.0;-1.0;29.0;60.0;55.0;9.0;15.0;11.0;41.0;17.0;19.0;63.0;16.0;47.0;-1.0;25.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
29/02/2000;8.0;-1.0;36.0;66.0;62.0;10.0;18.0;9.0;49.0;22.0;26.0;70.0;22.0;47.0;59.0;28.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
01/03/2000;16.0;-1.0;38.0;61.0;60.0;-1.0;32.0;7.0;51.0;27.0;36.0;56.0;24.0;28.0;61.0;23.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
02/03/2000;36.0;-1.0;41.0;57.0;79.0;-1.0;35.0;7.0;52.0;48.0;48.0;60.0;35.0;36.0;57.0;31.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
03/03/2000;57.0;-1.0;66.0;82.0;100.0;40.0;46.0;7.0;93.0;64.0;70.0;93.0;49.0;55.0;77.0;64.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
04/03/2000;20.0;-1.0;26.0;41.0;70.0;22.0;30.0;8.0;37.0;33.0;36.0;42.0;28.0;29.0;42.0;14.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
05/03/2000;28.0;-1.0;22.0;43.0;55.0;11.0;27.0;7.0;28.0;31.0;28.0;34.0;27.0;18.0;35.0;13.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
06/03/2000;58.0;-1.0;85.0;106.0;107.0;44.0;49.0;24.0;94.0;61.0;75.0;96.0;41.0;56.0;84.0;70.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
07/03/2000;60.0;-1.0;83.0;103.0;111.0;58.0;56.0;10.0;99.0;69.0;77.0;99.0;46.0;69.0;96.0;57.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
08/03/2000;72.0;-1.0;82.0;91.0;103.0;61.0;59.0;9.0;85.0;72.0;75.0;86.0;56.0;67.0;82.0;62.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
09/03/2000;64.0;-1.0;73.0;88.0;100.0;58.0;59.0;10.0;94.0;70.0;73.0;83.0;45.0;59.0;83.0;55.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
10/03/2000;40.0;-1.0;43.0;60.0;80.0;42.0;45.0;8.0;52.0;53.0;51.0;59.0;40.0;44.0;60.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
11/03/2000;44.0;-1.0;57.0;71.0;88.0;36.0;40.0;9.0;64.0;49.0;50.0;66.0;40.0;45.0;66.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
12/03/2000;28.0;-1.0;26.0;43.0;62.0;20.0;31.0;11.0;30.0;30.0;30.0;44.0;28.0;28.0;44.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
13/03/2000;57.0;-1.0;59.0;69.0;95.0;50.0;54.0;11.0;52.0;56.0;54.0;77.0;46.0;60.0;69.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
14/03/2000;53.0;-1.0;49.0;69.0;96.0;59.0;50.0;13.0;62.0;44.0;58.0;82.0;41.0;-1.0;76.0;45.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
15/03/2000;24.0;-1.0;29.0;50.0;69.0;21.0;37.0;11.0;30.0;31.0;31.0;37.0;35.0;-1.0;42.0;17.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
16/03/2000;42.0;-1.0;35.0;60.0;76.0;25.0;44.0;10.0;43.0;38.0;39.0;51.0;33.0;25.0;56.0;26.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
