;FR20003;FR20017;FR20038;FR20045;FR20026;FR20049;FR20019;FR20002;FR20037;FR20029;FR20033;FR20013;FR20020;FR20008;FR20030;FR20004;FR20048;FR20016;FR20031;FR20046;FR20061;FR20062;FR20063;FR20065;FR20069;FR20070;FR20071;FR20077;indicateur;moyenne;q1;mediane;q3;d10
01/03/2007;82.0;6.0;2.0;5.0;-1.0;0.0;30.0;34.0;2.0;10.0;-1.0;90.0;-1.0;51.0;-1.0;4.0;0.0;7.0;2.0;1.0;21.0;10.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;27.09;0;1;1;0;0
02/03/2007;86.0;7.0;9.0;15.0;-1.0;0.0;45.0;48.0;4.0;9.0;-1.0;179.0;-1.0;61.0;-1.0;8.0;1.0;12.0;6.0;2.0;11.0;8.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;32.52;1;1;1;0;0
03/03/2007;55.0;5.0;3.0;6.0;-1.0;0.0;18.0;28.0;3.0;8.0;-1.0;-1.0;-1.0;49.0;-1.0;7.0;0.0;10.0;8.0;3.0;11.0;4.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;21.75;0;1;1;0;0
04/03/2007;34.0;7.0;5.0;10.0;-1.0;0.0;32.0;32.0;3.0;9.0;-1.0;-1.0;-1.0;36.0;-1.0;5.0;1.0;12.0;7.0;9.0;8.0;6.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;18.91;0;1;0;0;0
05/03/2007;65.0;25.0;10.0;26.0;-1.0;0.0;-1.0;54.0;12.0;18.0;-1.0;-1.0;-1.0;72.0;-1.0;11.0;2.0;23.0;18.0;28.0;18.0;16.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;37.26;1;1;1;1;0
06/03/2007;68.0;16.0;8.0;22.0;-1.0;0.0;-1.0;38.0;11.0;20.0;-1.0;128.0;-1.0;75.0;-1.0;16.0;2.0;14.0;8.0;23.0;26.0;12.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;33.66;1;1;1;0;0
07/03/2007;69.0;5.0;3.0;11.0;-1.0;0.0;32.0;33.0;3.0;6.0;-1.0;162.0;-1.0;66.0;-1.0;5.0;0.0;10.0;3.0;2.0;14.0;7.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;27.39;0;1;1;0;0
08/03/2007;58.0;5.0;17.0;15.0;-1.0;0.0;3.0;21.0;6.0;17.0;-1.0;135.0;-1.0;20.0;-1.0;2.0;0.0;22.0;9.0;0.0;4.0;5.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;18.34;0;1;0;0;0
09/03/2007;77.0;7.0;19.0;40.0;-1.0;0.0;15.0;36.0;10.0;38.0;-1.0;164.0;-1.0;51.0;-1.0;5.0;1.0;32.0;16.0;8.0;19.0;6.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;29.66;1;1;1;0;0
10/03/2007;21.0;2.0;9.0;4.0;-1.0;0.0;2.0;5.0;1.0;13.0;-1.0;51.0;-1.0;6.0;-1.0;1.0;0.0;13.0;4.0;0.0;2.0;2.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;6.96;0;0;0;0;0
11/03/2007;27.0;6.0;6.0;13.0;-1.0;0.0;14.0;26.0;2.0;7.0;-1.0;47.0;-1.0;16.0;-1.0;1.0;1.0;18.0;5.0;5.0;3.0;3.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;13.57;0;1;0;0;0
12/03/2007;123.0;30.0;24.0;75.0;-1.0;0.0;69.0;67.0;28.0;50.0;-1.0;226.0;-1.0;84.0;-1.0;37.0;11.0;45.0;35.0;33.0;-1.0;29.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;59.23;1;1;1;1;0
13/03/2007;96.0;48.0;37.0;57.0;-1.0;0.0;57.0;67.0;24.0;52.0;-1.0;231.0;-1.0;97.0;-1.0;33.0;14.0;66.0;60.0;29.0;-1.0;37.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;62.7;1;1;1;1;1
14/03/2007;50.0;6.0;6.0;22.0;-1.0;-1.0;-1.0;23.0;11.0;16.0;-1.0;194.0;-1.0;33.0;-1.0;3.0;1.0;16.0;9.0;1.0;18.0;3.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;19.04;0;1;0;0;0
15/03/2007;99.0;39.0;38.0;69.0;-1.0;-1.0;54.0;80.0;30.0;55.0;-1.0;224.0;-1.0;90.0;-1.0;41.0;10.0;58.0;36.0;24.0;23.0;35.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;61.83;1;1;1;1;0
