;FR20003;FR20017;FR20038;FR20045;FR20026;FR20049;FR20019;FR20002;FR20037;FR20029;FR20033;FR20013;FR20020;FR20008;FR20030;FR20004;FR20048;FR20016;FR20031;FR20046;FR20061;FR20062;FR20063;FR20065;FR20069;FR20070;FR20071;FR20077;indicateur
27/03/2000;113.0;11.0;8.0;52.0;-1.0;3.0;51.0;62.0;14.0;9.0;7.0;228.0;11.0;47.0;7.0;14.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;47.27
28/03/2000;111.0;12.0;13.0;36.0;-1.0;3.0;29.0;51.0;7.0;19.0;8.0;221.0;21.0;55.0;15.0;15.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;46.13
29/03/2000;164.0;13.0;12.0;74.0;-1.0;4.0;63.0;87.0;13.0;21.0;8.0;240.0;22.0;60.0;14.0;19.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;65.47
30/03/2000;189.0;34.0;12.0;41.0;-1.0;3.0;123.0;106.0;20.0;24.0;5.0;252.0;64.0;137.0;12.0;40.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;99.08
31/03/2000;153.0;37.0;37.0;56.0;-1.0;3.0;147.0;101.0;52.0;53.0;19.0;213.0;98.0;106.0;40.0;39.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;90.16
01/04/2000;120.0;22.0;7.0;21.0;-1.0;3.0;98.0;79.0;15.0;17.0;3.0;206.0;52.0;79.0;6.0;21.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;64.52
02/04/2000;47.0;11.0;4.0;9.0;-1.0;3.0;41.0;43.0;5.0;12.0;4.0;68.0;21.0;46.0;6.0;20.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;32.68
03/04/2000;84.0;7.0;5.0;13.0;-1.0;4.0;66.0;53.0;3.0;5.0;2.0;175.0;11.0;80.0;2.0;11.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;45.57
04/04/2000;93.0;5.0;2.0;27.0;-1.0;4.0;75.0;47.0;3.0;8.0;2.0;124.0;7.0;67.0;2.0;9.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;43.31
05/04/2000;111.0;7.0;10.0;42.0;-1.0;5.0;21.0;44.0;4.0;12.0;4.0;223.0;8.0;36.0;-1.0;12.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;39.17
06/04/2000;100.0;9.0;26.0;27.0;-1.0;4.0;12.0;39.0;5.0;23.0;5.0;224.0;11.0;41.0;-1.0;10.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;37.02
