;id_station;valeur
09/07/2007;FR20013;16.0
10/07/2007;FR20062;9.0
10/07/2007;FR20046;7.5
10/07/2007;FR20013;18.0
11/07/2007;FR20062;11.0
11/07/2007;FR20046;10.7
11/07/2007;FR20013;16.0
12/07/2007;FR20062;12.0
12/07/2007;FR20046;11.5
12/07/2007;FR20013;23.0
13/07/2007;FR20046;23.4
13/07/2007;FR20013;22.0
13/07/2007;FR20062;16.0
14/07/2007;FR20062;13.0
14/07/2007;FR20013;13.0
14/07/2007;FR20046;12.1
15/07/2007;FR20046;9.8
15/07/2007;FR20013;12.0
15/07/2007;FR20062;12.0
16/07/2007;FR20062;13.0
16/07/2007;FR20013;13.0
16/07/2007;FR20046;12.1
17/07/2007;FR20046;12.3
17/07/2007;FR20062;14.0
17/07/2007;FR20013;24.0
18/07/2007;FR20013;23.0
18/07/2007;FR20062;16.0
18/07/2007;FR20046;14.9
19/07/2007;FR20062;17.0
19/07/2007;FR20046;16.9
19/07/2007;FR20013;28.0
20/07/2007;FR20013;26.0
20/07/2007;FR20062;16.0
20/07/2007;FR20046;15.5
21/07/2007;FR20062;13.0
21/07/2007;FR20046;11.2
21/07/2007;FR20013;20.0
22/07/2007;FR20013;17.0
22/07/2007;FR20062;12.0
22/07/2007;FR20046;12.9
23/07/2007;FR20062;14.0
23/07/2007;FR20046;12.4
23/07/2007;FR20013;17.0
24/07/2007;FR20046;9.2
24/07/2007;FR20062;12.0
24/07/2007;FR20013;12.0
25/07/2007;FR20046;12.7
25/07/2007;FR20062;13.0
25/07/2007;FR20013;20.0
26/07/2007;FR20013;30.0
26/07/2007;FR20062;19.0
26/07/2007;FR20046;18.0
27/07/2007;FR20013;29.0
27/07/2007;FR20062;15.0
27/07/2007;FR20046;14.7
28/07/2007;FR20046;14.9
28/07/2007;FR20013;26.0
28/07/2007;FR20062;17.0
29/07/2007;FR20062;10.0
29/07/2007;FR20013;17.0
29/07/2007;FR20046;12.3
30/07/2007;FR20062;9.0
30/07/2007;FR20046;8.4
30/07/2007;FR20013;18.0
31/07/2007;FR20013;18.0
31/07/2007;FR20046;9.7
31/07/2007;FR20062;11.0
01/08/2007;FR20013;21.0
01/08/2007;FR20046;14.9
01/08/2007;FR20062;17.0
02/08/2007;FR20013;28.0
02/08/2007;FR20062;16.0
02/08/2007;FR20046;17.2
03/08/2007;FR20046;13.4
03/08/2007;FR20062;14.0
03/08/2007;FR20013;23.0
04/08/2007;FR20013;25.0
04/08/2007;FR20062;18.0
04/08/2007;FR20046;15.7
05/08/2007;FR20046;17.9
05/08/2007;FR20062;19.0
05/08/2007;FR20013;27.0
06/08/2007;FR20046;17.7
06/08/2007;FR20062;20.0
06/08/2007;FR20013;29.0
07/08/2007;FR20046;8.8
07/08/2007;FR20062;9.0
07/08/2007;FR20013;16.0
08/08/2007;FR20046;9.9
08/08/2007;FR20062;10.0
08/08/2007;FR20013;15.0
09/08/2007;FR20062;11.0
09/08/2007;FR20013;17.0
09/08/2007;FR20046;12.1
10/08/2007;FR20013;15.0
10/08/2007;FR20046;7.7
10/08/2007;FR20062;9.0
11/08/2007;FR20046;13.3
11/08/2007;FR20013;23.0
11/08/2007;FR20062;17.0
12/08/2007;FR20062;20.0
12/08/2007;FR20013;26.0
12/08/2007;FR20046;19.0
13/08/2007;FR20062;18.0
13/08/2007;FR20013;28.0
13/08/2007;FR20046;18.4
14/08/2007;FR20013;28.0
14/08/2007;FR20062;19.0
14/08/2007;FR20046;17.7
15/08/2007;FR20062;18.0
15/08/2007;FR20013;21.0
15/08/2007;FR20046;18.0
16/08/2007;FR20062;8.0
16/08/2007;FR20046;9.0
16/08/2007;FR20013;19.0
17/08/2007;FR20013;15.0
17/08/2007;FR20062;8.0
17/08/2007;FR20046;9.1
18/08/2007;FR20046;10.2
18/08/2007;FR20062;10.0
18/08/2007;FR20013;16.0
19/08/2007;FR20013;15.0
19/08/2007;FR20062;11.0
19/08/2007;FR20046;13.8
20/08/2007;FR20046;8.9
20/08/2007;FR20013;16.0
